objectnummer;instelling.naam;objectnaam;titel;beschrijving;vervaardiging.datum.begin;vervaardiging.datum.eind;vervaardiger;vervaardiger.rol;vervaardiging.plaats
1965-089-034;Het Huis van Alijn (Gent);stangpop;Boze geest;Stangpop van een boze geest. Pop met langwerpige, wit geschilderde kop, witte kap en grauw kleed met lange mouwen. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
1926-060;Het Huis van Alijn (Gent);kachel;Plattebuiskachel of Leuvense stoof;Stoof van het type plattebuiskachel op vier poten. Deze stoof diende niet enkel als verwarmingselement, maar eveneens als kookfornuis en bakoven. Zo bleven op de buis de spijzen en de koffie warm en hing aan de leuningen de was te drogen.;"";"";"";"";""
2012-003-001;Het Huis van Alijn (Gent);snelkookpan;Snelkookpan Miss Mary;"";"";"";"";"";""
1972-103-001;Het Huis van Alijn (Gent);pop;Pop;Een aangeklede pop met een opgeplakt pruikje van blond haar, grote ogen met opgeschilderde wimpers en wenkbrauwen, een klein neusje en een mondje met wat overhangende bovenlip. Er zijn gaatjes voorzien voor oorringen. De pop heeft roze, bolle wangen. De romp is van papier-maché. De ledematen hebben allemaal geledingen. De gewrichten zijn van hout en het boven- en onderdeel is van papier-maché. Deze zijn roosoranje geschilderd en verbonden met koord en metaaldraad. Nek: F 7 G.;1880;"";"";"";""
2007-150-300;Het Huis van Alijn (Gent);kerstbal;Doos met 20 kerstballen;"";"";"";"";"";""
2007-164-071;Het Huis van Alijn (Gent);loopstoel;Looprekje van vlechtwerk uit riet;"";"";"";onbekend;"";""
1926-017;Het Huis van Alijn (Gent);koffiekan;Koffiekan van geel koper;Koffiekan in de vorm van een afgeknotte kegel. De kan heeft een lange, smalle tuit. Naar boven toe versmalt deze. Het deksel met eikelvormige knop is van een andere kwaliteit dan deze van het lichaam. Het handvat is oorvormig en wordt smaller naar onderen toe. De bodem is hol en draagt een ruitpatroon. Op een rode, koperen band aan de hals is een inscriptie aangebracht: ortantia antonia Verstringe geboren den 26 Junij 1830. Den peter franciscus Duroeck.;1830;"";"";"";""
1971-047-012;Het Huis van Alijn (Gent);santon;Kerststalfiguur os;Beeld van liggende bruin-rode os met zwarte staart en hoeven. Der kerststalfiguur staat op een groene sokkel.;"";"";"";"";""
1965-089-058;Het Huis van Alijn (Gent);stangpop;Pater Vanderhaegen of Willem van Saeftinge uit de Guldensporenslag;Stangpop van pater Vanderhaegen of Willem van Saeftinge. Pater gekleed in een lange bruine pij met brede schouderkraag en kap. De pop draagt een witte gordel van koord, een rozenkrans en sandalen. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
2004-247-137;Het Huis van Alijn (Gent);glasnegatief;Een gewichtheffer op de Gentse foor, ca. 1890-1900;Een divers publiek van kermisgangers heeft zich rond een gewichtheffer verzameld voor diens openluchtshow tijdens de foor op het Gentse Sint-Pietersplein. De krachtpatser stapt rond terwijl hij zijn halterstang hoog boven zijn hoofd houdt.;1890;1900;Vander Haeghen, Arnold;fotograaf;Gent
1973-470-028;Het Huis van Alijn (Gent);miniatuur;Speelgoedwafelijzer;Het tangvormig speelgoedwafelijzer heeft twee armen met een ringvormig uiteinde. Het wafelijzer is van het type dat op de kachel werd gelegd om wafels te bakken.;"";"";"";"";""
2004-247-115;Het Huis van Alijn (Gent);glasnegatief;Een makaronkastman op de kermis;Een makaronkastman wacht naast zijn makaronrad op geïnteresseerde foorgangers, waarschijnlijk op een wijkkermis in Gent. Wie de makaronkastman een klein bedrag betaalde, kon een gok wagen en aan het rad draaien om een blad makarons (zoete kokoskoekjes) te winnen. Links achter de makaronkastman staat een grote bootjesschommel opgesteld.;1890;1900;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-121;Het Huis van Alijn (Gent);glasnegatief;De Montagne Russe op de foor op het Sint-Pietersplein, Gent, ca. 1890-1895;"De Montagne Russe van directeur Russell voor de O.L.V. Sint-Pieterskerk op het Sint-Pietersplein te Gent tijdens de foor, circa 1890-1895. De rupsbaan werd aangedreven door een stoommachine, de stoompijp steekt in het midden boven het tentdak uit. De fraai versierde bovenrand draagt het opschrift: ""Montagne Russe a vapeur"". Op het dak zijn Belgische en Amerikaanse vlaggen te zien. Vooraan lopen een jongen en drie mannen, waarvan één een mand aan een stok over zijn schouder draagt. Links is op de achtergrond een stuk van een carrousel te zien.";1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-122;Het Huis van Alijn (Gent);glasnegatief;De Montagne Russe op de foor op het Sint-Pietersplein, Gent, ca. 1890-1895;"De Montagne Russe van directeur Russell voor de O.L.V. Sint-Pieterskerk op het Sint-Pietersplein te Gent tijdens de foor, circa 1890-1895. De rupsbaan werd aangedreven door een stoommachine, de stoompijp steekt in het midden boven het tentdak uit. Op de fraai versierde bovenrand is te lezen: ""directeur W [e?] Russell"". Op het dak zijn Belgische en Amerikaanse vlaggen te zien. Aan het aantal mannen, vrouwen en kinderen op de voorgrond te zien werd de kermis op het moment van opname druk bezocht.";1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-123;Het Huis van Alijn (Gent);glasnegatief;De Montagne Russe op de foor op het Sint-Pietersplein te Gent, ca. 1890-1900;Montagne Russe van Duitser E. Opitz, met stoommachine. Twee mannen in het wagentje, twee mannen wachten naast de molen. Links een stuk van de loopbrug en een deel van een kermisbarak.;1890;1900;Vander Haeghen, Arnold;fotograaf;""
2007-117-109;Het Huis van Alijn (Gent);schoensmeer;Schoenpoetsmiddel Nugget;"";"";"";"";"";""
2007-117-050;Het Huis van Alijn (Gent);talkpoeder;Talkpoederdoos Babyderm;"";"";"";"";"";""
1973-276-003;Het Huis van Alijn (Gent);kop (figuurvoorstellingen);Reuzenkop van kind Roland;Reuzenkop van de dekenij Heuvelpoort. Kop van papier-maché. In 1948 maakte dekenij Heuvelpoort een reus Roland. Een herinnering aan Klokke Roeland. Roland was de zoon van het reuzenpaar Kwinten en Amanda. De dekenij hield op met het paraderen met de reuzen in 1958.;1948;"";"";"";""
1966-051-006;Het Huis van Alijn (Gent);miniatuur;Speelgoednaaimachine;"";"";"";onbekend;"";""
2004-247-116;Het Huis van Alijn (Gent);glasnegatief;Koek kappen op de kermis;Enkele omstaanders kijken toe hoe een jonge foorganger een koek in stukken probeert te kappen. De foto is waarschijnlijk genomen op een Gentse wijkkermis. Koek kappen was een echte traditie op volkskermissen. Men probeerde daarbij een speciaal voor dit spel gebakken platte, harde en taaie stroopkoek met een stomp, bijlachtig voorwerp in een drietal slagen volgens een bepaald patroon door te hakken.;1890;1900;Vander Haeghen, Arnold;fotograaf;Gent
2003-104-470;Het Huis van Alijn (Gent);postkaart;Twee geliefden in een sleutelgat;"";"";"";"";"";""
2007-158-053;Het Huis van Alijn (Gent);productverpakking;Verpakking Milkana;"";"";"";"";"";""
2007-169-046;Het Huis van Alijn (Gent);postkaart;Heureuses Pâques;"";1933;"";"";"";""
1980-123;Het Huis van Alijn (Gent);foto;Historische stoet 'Gent door de eeuwen heen', 1894;Praalwagen met keizerin Maria Theresia van Oostenrijk. De foto is vermoedelijk genomen door Edmond Sacré, vanaf de Recollettenlei met zicht op het Koophandelsplein in Gent.;1894;"";Sacré, Edmond;fotograaf;Gent
1981-012-039;Het Huis van Alijn (Gent);pijp (rookgerei)$pijpenkop;Tabakspijp met kop van wit gebakken klei met het hoofd van Jacob;Tabakspijp van wit gebakken klei, met als pijpenkop het hoofd van Jacob. Deze pijp wordt ook Jacobpijp genoemd. Jacob wordt afgebeeld met snor, lange uitwaaierende baard en tulband. Op de tulband een tekstlint met opschrift: Je suis le vrai Jacob. De pijp heeft een korte, oplopende steel en manchet. Deze pijp werd verkocht onder de handelsnaam tête Jacob en modelnummer 1048. De pijpenkop is afgewerkt met schilderemail in wit, zwart, groen en roze. Onderaan twee tekstschilden: Jacob. Een kersenhouten tak als steel en met hoornen eindstuk. Rond de beet is een stukje touw gewikkeld.;1890;1900;Gambier J.;fabrikant;Givet
2007-152-532;Het Huis van Alijn (Gent);gedenkpenning;Gedenkpenning Carnaval Aalst, 1934;Mantelvormige gedenkpenning met vaste aanhechtingsring. Vooraan is een Gilles de Binche afgebeeld. Opschrift: Stad Aalst Karnaval 1934.;1934;"";"";"";""
1974-114-019;Het Huis van Alijn (Gent);sierspeld;Rouwspeld van git in de vorm van een gestileerde vlinderdas;Sierspeld van zwart git in de vorm van een gestileerde vlinderdas. Centraal is een zesbladig bloemmotief uitgewerkt. Aan weerszijden daarvan zijn ornamenten in de vorm van een veer toegevoegd. De linkerveer heeft de ornamenten naar beneden gericht, terwijl de rechterveer deze naar boven heeft gericht. De achterzijde is voorzien van een ijzeren speld.;1930;"";"";"";""
2008-141-001;Het Huis van Alijn (Gent);dessertbord;Dessertbord Bloch;Dessertbord afkomstig van de Gentse bakkerij Bloch.;"";"";"";"";""
2007-150-069;Het Huis van Alijn (Gent);groentezeefmolen;Groentezeefmolen Passe légume;"";"";"";"";"";""
1973-118-012;Het Huis van Alijn (Gent);miniatuur;Speelgoedstrijkijzer;Op het speelgoedstrijkijzer uit gietijzer is een everzwijn, eikenboom en eikel afgebeeld.;"";"";onbekend;"";""
2007-150-065;Het Huis van Alijn (Gent);broodmes;Broodmes Schnittfix;"";"";"";"";"";""
2007-150-057;Het Huis van Alijn (Gent);groentesnijder;Groentesnijder Hache-vite;"";"";"";"";"";""
2007-119-027;Het Huis van Alijn (Gent);onderzetter;Onderzetters;"";"";"";"";"";""
2009-046-108;Het Huis van Alijn (Gent);maatstok;Meetlat Graffiti;"";"";"";"";"";""
1980-109-005;Het Huis van Alijn (Gent);papschuit;Papfles uit glas;Papfles uit glas met twee openingen.;"";"";"";"";""
1976-320-003;Het Huis van Alijn (Gent);broodmand;Ovale picknickbus;"";"";"";onbekend;"";""
1987-006;Het Huis van Alijn (Gent);onderscheiding;Ereteken van Prins-Carnaval Claus I, Eupen, 1950;Achtpuntige ster met ophangring, binnenin een cirkel met foto van Prins Carnaval Claus I, op een blauw-witte achtergrond staat het opschrift: Prinz Claus I Eupen 1950.;1950;"";"";"";""
1965-089-060;Het Huis van Alijn (Gent);stangpop;Meere;Stangpop van Meere. Veelkleurige katoenen muts met kant afgezet. Veelkleurige halsdoek, vooraan over de borst gekruist. Beige kleed met rode motieven en onderaan met breed, rood afboordlint afgewerkt. Blauwe voorschort met witte bolletjes. Poppenkastpop uit het Spelleke van de Muide.;1922;1950;"";"";""
1977-290-099;Het Huis van Alijn (Gent);snuifdoos;Snuifdoos in de vorm van een damesschoen;"";"";"";"";"";""
2004-262-090;Het Huis van Alijn (Gent);schoolbank;Schoolbank met dubbele lessenaar;Schoolbank met dubbele lessenaar. Tussen de lessenaars is een holte voorzien voor de plaatsing van een potje inkt. Een richel houdt de boeken tegen op het schuine blad.;"";"";"";"";""
2007-150-270;Het Huis van Alijn (Gent);asbak;Zwarte asbak met witte lijnen;"";"";"";"";"";""
2007-093;Het Huis van Alijn (Gent);snelkookpan;Grauding snelkookpan van aluminium;Snelkookpan met handleiding. Grauding-systeem. Het geheel bestaat uit een dekselspanner, een deksel, een bovenpan, een verdeler, een vergiet, een rooster, een schaal en een onderpan.;"";"";"";"";""
2010-003-111;Het Huis van Alijn (Gent);kaars;Verjaardagskaarsen;"";"";"";"";"";""
1977-147;Het Huis van Alijn (Gent);inktpot;Porseleinen inktpot versierd met blauwe chinoiserieën;"";"";"";"";"";""
1976-328-057;Het Huis van Alijn (Gent);schoenlepel;Schoenlepel met initialen BJM, 1852;Huishoudelijke voorwerpen werden als huwelijksgeschenk gegeven. Deze schoenlepel was een cadeau voor het bruidspaar.;1852;"";"";"";""
2007-119-113;Het Huis van Alijn (Gent);plantenstandaard;Plantenstatief;"";"";"";"";"";""
2007-117-009;Het Huis van Alijn (Gent);productverpakking;Souvenir Expo 58;Een blikken doos, uitgebracht door Chocolaterie Jacques, als souvenir aan de wereldtentoonstelling Expo 58 in Brussel in 1958.;1958;"";"";"";""
2007-118-028;Het Huis van Alijn (Gent);fonduestel;Fonduestel;"";"";"";"";"";""
1978-324-107;Het Huis van Alijn (Gent);pijp (rookgerei);Tabakspijp van wit gebakken klei;Tabakspijp van wit gebakken klei met florale motieven, ook een 8-uren pijp genoemd. De pijp is geproduceerd door Wingender Frères in Chokier. Met kromkop, haakvormige hiel en rechte steel met knoop. Op de kop staat in reliëf het cijfer 8 in een groene kleur met ertussen bloempjes in een roze kleur. Steel in reliëf met vierbladige bloemen. Rond de steel zit net voor de knoop een stukje touw gewikkeld.;1900;1920;Wingender;fabrikant;Chokier
2007-117-128;Het Huis van Alijn (Gent);kom;Vier puddingkommetjes in pasteltinten;"";"";"";"";"";""
2007-150-696-001;Het Huis van Alijn (Gent)$Het Huis van Alijn (Gent);schep;Rood strandschepje;"";"";"";onbekend;"";""
1980-129;Het Huis van Alijn (Gent);miniatuur;Speelgoedstrijkijzer;Op het speelgoedstrijkijzer uit gietijzer is een koninklijke kroon afgebeeld.;"";"";onbekend;"";""
2007-150-445;Het Huis van Alijn (Gent);nummerplaat;Nummerplaat voor fiets Liège 1954;"";1954;"";"";"";""
2007-150-742;Het Huis van Alijn (Gent);salontafel;Salontafel uit kunststof;Ronde salontafel uit kunststof met metalen onderstel op wieltjes. Oranje bovendeel met beige inlegstuk en ronde uitsparingen voor flessen.;"";"";"";"";""
2007-119-042;Het Huis van Alijn (Gent);eiersnijder;Ei-opener;"";"";"";"";"";""
2007-150-500;Het Huis van Alijn (Gent);breizak;Breitas;"";"";"";"";"";""
1979-145-008;Het Huis van Alijn (Gent);autoped;Houten step;Autoped met ijzeren wielen met spaken. De plank en stuurstang zijn van hout.;"";"";"";"";""
1980-206;Het Huis van Alijn (Gent);kruis;Houten kruis van communicant, 11 mei 1969;"";1969-05-11;"";"";"";""
2009-046-114;Het Huis van Alijn (Gent);bureauset;Pennenhouder met plakband en notitieblok;"";"";"";"";"";""
2007-150-265;Het Huis van Alijn (Gent);luciferdoosje;Luciferdoosje Zemir;"";"";"";"";"";""
1986-024-003;Het Huis van Alijn (Gent);nieuwjaarskaart;Nieuwjaarskaart Gentse burgerwacht, 1863;Nieuwjaarskaart voor het jaar 1863, gericht aan de officieren, onderofficieren en troepen van de Gentse burgerwacht, vanwege de trommelslager van de compagnie.;1862;1863;"";"";""
2004-247-028;Het Huis van Alijn (Gent);glasnegatief;Sacramentsprocessie, Gent, ca. 1890-1893;Koorknapen of misdienaars in de Sacramentsprocessie die jaarlijks in Gent gehouden werd. De jongens dragen vaandels of kruisbeelden mee. Hier lopen ze over de Kouter, ze zijn net zaal Concorde gepasseerd. Een groot publiek heeft zich langs de kant van de weg verzameld en verschillende parasollen zijn opgestoken.;1890;1893;Vander Haeghen, Arnold;fotograaf;Gent
1974-222-007;Het Huis van Alijn (Gent);tas (kledingaccessoire);Herenbeurs ter bewaring van een pijpenkop;Herenbeursje ter bewaring van de pijpenkop. Het beursje bestaat uit perlagewerk. Het is rechthoekig en onderaan afgerond. Het is gevoerd met groene zijde. Het zakje is helemaal bezet met zeer fijne pareltjes op fijne jute. De achtergrond is wit en lichtgrijs. De bovenrand bestaat uit gestileerde bloemetjes in een blauwe, rode, gele, groene en bruine kleur. Aan de onderzijde zijn haakjes in verschillende kleuren voorzien. De onderzijde heeft een groene kleur en is versierd met drie witte zigzaglijnen. Aan de ene kant is een krans voorzien met allerlei kleuren. Daarbinnen staat de datum 1850. Aan de andere kant zit een krans met de initialen SV en DC. Men noemt dit zogenaamd Liers werk.;1850;"";"";"";""
2004-247-025;Het Huis van Alijn (Gent);glasnegatief;Waterstoet, Gent, 1903;Een met bloemen versierd bootje met drie inzittenden vaart op de Leie langs de Ajuinlei in Gent tijdens de waterstoet van 1903. Een massa toeschouwers kijkt toe.;1903;"";Vander Haeghen, Arnold;fotograaf;Gent
2007-053-005;Het Huis van Alijn (Gent);etui;Pennenzak met inhoud;Opvouwbare pennenzak met inhoud: 2 passers en 2 inktpennen.;"";"";"";"";""
2000-073;Het Huis van Alijn (Gent);pijp (rookgerei)$pijp-etui;Tabakspijp van meerschuim met het borstbeeld van Napoleon;Tabakspijp van meerschuim met grote figurale kop en schuin oplopende steel of tige. Als pijpenkop het borstbeeld van Napoleon Bonaparte met steek op het hoofd. Originele montage met gebogen mondstuk of roer uit geeloranje (imitatie) amber of barnsteen met afgeplatte beet. Bijbehorend houten etui of foedraal. Buitenzijde afgewerkt met roodbruin (imitatie)leer. Binnenzijde in wit fluweel. Het etui bestaat uit twee gelijke, scharnierende delen en wordt met een springslot afgesloten.;"";"";onbekend;"";Oostenrijk
2009-061-003;Het Huis van Alijn (Gent);haarverzorgingsproduct;Proco Shampoo;"";"";"";"";"";""
1972-159;Het Huis van Alijn (Gent);proppenschieter;Klakkebus met doosje kurken;De klakkebus met hol, cilindervormig lichaam is uitgevoerd in ongeverfd hout. In deze lange cilinder past een tweede cilinder met spil. In de bus bevindt zich een prop van een kurk. Deze wordt afgeschoten door de spil snel in de cilinderbuis te pompen. De bus vertoont vier ingekerfde lijnen.;1900;1940;"";"";Nederland
2003-002-147;Het Huis van Alijn (Gent);stoel;Rode klapstoel van Circus Demuynck;Rode logestoel waarvan het zit- en ruggedeelte is vervaardigd uit houten latjes. De stoel dateert uit de tijd van de kiosktenten. Deze stoelen boden het beste uitzicht op de piste en vormden zo de duurdere plaatsen voor het publiek. Afkomstig van circus Demuynck.;1950;"";"";"";""
1980-048-029;Het Huis van Alijn (Gent);beeldje;Fairing Retour de voyage;Kermisporselein of fairings zijn populaire 19de-eeuwse porseleinen beeldjes die te koop werden aangeboden op jaarmarkten en kermissen. Op humoristische wijze worden dagdagelijkse taferelen afgebeeld. Er wordt veelal gelachen met de huwelijkse trouw.;1860;1890;"";"";""
2008-092-014;Het Huis van Alijn (Gent);snuifdoos;Snuifdoos in de vorm van een damesschoen;"";"";"";"";"";""
2007-150-431;Het Huis van Alijn (Gent);thermosfles;Gele koffiekan;"";"";"";"";"";""
1977-019;Het Huis van Alijn (Gent);sigarettenhouder;Sigarettendoosje in hout;Sigarettendoosje in hout op een plank waarop ook een vogeltje staat.;"";"";onbekend;"";""
2007-150-454;Het Huis van Alijn (Gent);po;Po voor kind in de vorm van een eend;"";"";"";"";"";""
1965-089-042;Het Huis van Alijn (Gent);stangpop;Klein paard;Stangpop van klein paard met geschilderd zadel en mondstuk. De teugels zijn vervaardigd van een lint. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
2007-118-030;Het Huis van Alijn (Gent);lavalamp;Lavalamp;"";"";"";"";"";""
2007-119-220;Het Huis van Alijn (Gent);pen;Pen van Parker;"";"";"";"";"";""
1976-042-004;Het Huis van Alijn (Gent);foto;Lijkkoets voor kinderen tweede klasse;"Het begin van de twintigste eeuw was een ware klassenmaatschappij. Er wordt vaak gezegd dat de dood de grote gelijkmaker is maar uit deze foto blijkt dit allesbehalve het geval te zijn. Er waren lijkkoetsen voor iedere sociale klasse in de samenleving. Op deze foto is een lijkkoets afgebeeld, bestemd voor kinderen van de tweede sociale klasse. In de beginjaren van de twintigste eeuw was de kindersterfte hoog. De medische wereld was nog niet zo ver gevorderd en heel wat mensen grepen naar volksgeneeskundige en volksreligieuze middelen waarvan het gewenste effect uitbleef. De man naast de lijkkoets is een zogenaamde lijkbidder.
Lijkkoetsen voortgetrokken met behulp van paarden bleven een lange tijd in zwang. Pas vanaf 1953 werden uitvaartplechtigheden verzorgd met gemotoriseerde lijkwagens.
De foto werd genomen door Edmond Sacré (1851-1921), een bekende Gentse fotograaf. Zijn gekende oeuvre is zeer divers, gaande van portretten, landschappen, evenementen tot uitvaartkoetsen.";"";"";Sacré, Edmond;fotograaf;Gent
2008-217;Het Huis van Alijn (Gent);asbak;Staande asbak in metaal;"";"";"";"";"";""
2010-125-002;Het Huis van Alijn (Gent);doos;Rekendoos Metriek Stelsel Vormleer met de dm³;"";"";"";"";"";""
2007-150-438;Het Huis van Alijn (Gent);picknickset;Oranje picknickset;"";"";"";"";"";""
1977-388-004;Het Huis van Alijn (Gent);foto;Lijkkoets voor volwassenen vierde klasse;Foto van een lijkkoets voor volwassenen behorend tot de vierde klasse in de samenleving. De lijkkoets wordt getrokken door twee paarden. Naast de koets staat een zogenaamde lijkbidder.;"";"";Sacré, Edmond;fotograaf;Gent
1980-083-001;Het Huis van Alijn (Gent);foto;Portret van een ceremoniemeester met ceremoniestaf, 1912;"";1912;"";Sacré, Edmond;fotograaf;""
1974-114-006;Het Huis van Alijn (Gent);sierspeld;Sierspeld in de vorm van een ruit met gestileerde vierbladige bloem;"";1930;"";"";"";""
2007-117-085;Het Huis van Alijn (Gent);lamp (verlichtingsmiddel);Lamp met kegelvormige kop;Lamp met kegelvormige kop in groene pastelkleur. Onderaan staat het opschrift: Made in Italy Florence.;"";"";"";"";Italië
2004-247-047;Het Huis van Alijn (Gent);glasnegatief;Carnavalscompagnie op de Kouter in Gent, ca. 1890;Een groep verklede en gemaskerde carnavalsvierders rijden op de Kouter in Gent in een boerenwagen, getrokken door twee paarden. Eén van hen houdt een bord met een opschrift vast. Deze carnavalscompagnie is waarschijnlijk gefotografeerd tijdens de carnavalsdagen in 1890. Op de achtergrond van het beeld lopen enkele deftig geklede burgers.;1890;"";Vander Haeghen, Arnold;fotograaf;Gent
2007-150-441;Het Huis van Alijn (Gent);nummerplaat;Nummerplaat voor fiets Liège 1953;"";1953;"";"";"";""
2007-150-301;Het Huis van Alijn (Gent);productverpakking;Blikken doos met afbeelding van de paashaas;"";"";"";"";"";""
2007-150-512;Het Huis van Alijn (Gent);schooltas;Schooltas met afbeelding van appeltje;"";"";"";"";"";""
2007-119-005;Het Huis van Alijn (Gent);ventilator;Ventilator BJM;"";"";"";"";"";""
2007-117-031;Het Huis van Alijn (Gent);poederdoos;Poederdoos Kalde;"";"";"";"";"";""
FO-10-00003;Het Huis van Alijn (Gent);digitale afbeelding;Vrouw met boek en hond, ca. 1912;"";1912;"";"";"";""
2007-150-681;Het Huis van Alijn (Gent)$Het Huis van Alijn (Gent);mand;Mandje voor paaseieren;"";"";"";"";"";""
2007-117-039;Het Huis van Alijn (Gent);haarverzorgingsproduct;Brillantine Red Star;Fles brillantine Red Star Russe.;"";"";"";"";""
2004-247-151;Het Huis van Alijn (Gent);glasnegatief;Twee vrouwen met een mand op de Gentse foor, ca. 1890-1895;Twee vrouwen lopen met een grote mand langs enkele fotobarakken op de Gentse foor op het Sint-Pietersplein. De weelderige decoratie van de fotobarakken is hier goed te zien. De fototenten staan opgesteld voor de toenmalige kazerne (voor- en nadien: de Sint-Pietersabdij). Op de linkse barak is De Londres te lezen, op de rechtse A la crande.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-143;Het Huis van Alijn (Gent);glasnegatief;Twee draaimolens op de Gentse foor, ca. 1890-1895;Twee draaimolens staan opgesteld voor de O.L.V. Sint-Pieterskerk op het Sint-Pietersplein te Gent tijdens de kermis. Rechts de Montagne Russe van directeur Russell, aangedreven door een stoommachine. Links een fraai versierde carrousel met gondels. De foor werd door leden van verschillende sociale klassen bezocht: mannen met buishoeden en mannen met petten, vrouwen met haarstukjes en vrouwen met halsdoeken.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-145;Het Huis van Alijn (Gent);glasnegatief;Een oliekoekverkoper op de Kouter in Gent, ca. 1890-1895;Een verkoper van oliekoeken staat met zijn blikken mand en strooibus op de Kouter in Gent, tussen vele deftig geklede burgers. Het huis met de faïences op de achtergrond is een winkel van gleiswerk en huisraad. Links daarvan bevindt zich zaal La Concorde.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
2004-247-152;Het Huis van Alijn (Gent);glasnegatief;Een speelgoedkraam op de Gentse foor, ca. 1890-1895;Een speelgoedkraam, mogelijk gefotografeerd tijdens de markt op Sint-Goedele (6 juli) in de Tweebruggenstraat of de Lange Violettenstraat. Voor de stand zit een kleine jongen op een soort krukje, ernaast staat een verkoopster. Het aanbod bestaat uit tamboerijnen, hoepels, springtouwen en een grote verscheidenheid aan ballen. Naast de speelgoedkraam staat een ander kraam met huishoudelijke en decoratieve waren. Achter het kraampje bevindt zich een openbaar mannentoilet.;1890;1895;Vander Haeghen, Arnold;fotograaf;Gent
1986-096;Het Huis van Alijn (Gent);gedachtenisbord;Houten gedachtenisbord aan Henri Dewaele;Gedachtenis van Henri Dewaele jongman Geboren te Winnezeele 1-6-1868, overleden te Watou 2-1-1930.;1930;"";"";"";""
2004-247-289;Het Huis van Alijn (Gent);glasnegatief;Vakantiegangers op het strand, Oostende;"";"";"";Vander Haeghen, Arnold;fotograaf;Gent
2009-047-001;Het Huis van Alijn (Gent);rolschaats;Rollerskates Star-Team;"";"";"";"";"";""
2007-150-730;Het Huis van Alijn (Gent)$Het Huis van Alijn (Gent);strandbal;Strandbal Roda;Rode strandbal met tekst: Roda Margarine 100% Maïs.;"";"";"";"";""
1965-048-012;Het Huis van Alijn (Gent);rekenmachine;Rekeninstrument;Een metalen rol om de tafels te leren.;"";"";"";"";""
1981-330-007;Het Huis van Alijn (Gent);rouwkrans;Rouwkrans van biscuit;"De krans heeft de vorm van een ring, symbool van eeuwigheid en bestaat uit een laurierkrans met een gestrikt lint en grote strik in hoog reliëf. Laurier is het symbool voor de overwinning en werd gedragen door de Romeinse keizers. In deze context kunnen we de lauriertak zien als een overwinning op de dood.
De krans komt van een verdwenen grafzerk van het kerkhof in de Brugse Poort te Gent.";"";"";onbekend;"";""
2001-056;Het Huis van Alijn (Gent);reliek;Reliek met lam;"";"";"";"";"";""
1965-089-072;Het Huis van Alijn (Gent);stangpop;Pelagie;Stangpop van Pelagie, de meid van Jacob Martin uit Reis naar de maan. De pop draagt een lang zwart kleed in geribde stof. Daarboven draagt ze een blauwe voorschort met vierkantmotief en linten over de beide schouders. Uit de mouwen van het zwart kleed steekt aan de polsen een stukje lichtbruine stof uit. Poppenkastpop van het Spelleke van de Muide.;1922;1950;"";"";""
2008-092-017;Het Huis van Alijn (Gent);sigarettenhouder$sigarenhouder;Metalen uitgewerkte houder voor sigaren of sigaretten;"";"";"";onbekend;"";""
2008-040;Het Huis van Alijn (Gent);telefoon;Telefoon van bakeliet met draaischijf;"";"";"";"";"";""
1974-046;Het Huis van Alijn (Gent);portretschild;Grafplaat van keramiek met portret van dame met hoed, 1917;Ovale grafplaat met foto van overleden vrouw met hoed. De vrouw draagt een zwarte jas. In de hals is een vlinderstrik geknoopt. Op de borst draagt ze een medaillon. De foto is voorzien van een zwarte, ovale bies. Op de achterzijde is een haakje met kleefband bevestigd. Hierop is een kruis met daar achter het jaar 1917 neergeschreven.;1917;"";"";"";""
2008-210-010;Het Huis van Alijn (Gent);kaars;Kaarsen voor kerstboom;"";"";"";"";"";""
2007-150-203;Het Huis van Alijn (Gent);schoenborstel;Schoenborstel Tana;"";"";"";"";"";""
2004-262-085;Het Huis van Alijn (Gent);doodskist;Houten doodskist voor kind;Taps toelopende, rechthoekige kinderkist met gebogen, versmallende zijwanden. De bovenzijde van de kist beschikt over een convexe, lange lat die over de gehele lengte loopt. Daarboven is een uitstulpend, houten kruis geplaatst.;"";"";"";"";""
2007-117-035;Het Huis van Alijn (Gent);haarverzorgingsproduct;Proco shampoo voor blond haar;"";"";"";"";"";""
1980-048-016;Het Huis van Alijn (Gent);beeldje;Fairing Retour après minuit;Fairings of kleine, porseleinen beeldjes die verkocht werden op jaarmarkten en kermissen beeldden het dagelijks leven uit op humoristische wijze. Vooral met het huwelijksleven werd er gelachen. In deze voorstelling keert een man veel te laat terug naar huis. Zijn vrouw staat al klaar met een pantoffel in de hand om hem te straffen.;1860;1890;"";"";""
1979-310-010;Het Huis van Alijn (Gent);notitieboek;Klein souvenirboekje;"";"";"";"";"";""
1965-040-002;Het Huis van Alijn (Gent);mand;Rieten mandje;"";"";"";onbekend;"";""
